hue,name,hex,red,green,blue,sat,light
30.0,Dark brown,#654321,101,67,33,50.7,26.3
30.0,Otter brown,#654321,101,67,33,50.7,26.3
30.0,Almond,#efdecd,239,222,205,51.5,87.1
30.0,Linen,#faf0e6,250,240,230,66.7,94.1
30.0,Sepia,#704214,112,66,20,69.7,25.9
30.0,Ochre,#cc7722,204,119,34,71.4,46.7
30.0,Deep saffron,#ff9933,255,153,51,100.0,60.0
30.6,Neon Carrot,#ffa343,255,163,67,100.0,63.1
32.5,Bisque,#ffe4c4,255,228,196,100.0,88.4
32.8,Camel,#c19a6b,193,154,107,41.0,58.8
32.8,Desert,#c19a6b,193,154,107,41.0,58.8
32.8,Fallow,#c19a6b,193,154,107,41.0,58.8
32.8,Lion,#c19a6b,193,154,107,41.0,58.8
32.9,Carrot orange,#ed9121,237,145,33,85.0,52.9
32.9,Dark orange,#ff8c00,255,140,0,100.0,50.0
33.0,Tangerine,#f28500,242,133,0,100.0,47.5
33.3,Timberwolf,#dbd7d2,219,215,210,11.1,84.1
33.6,Princeton orange,#ff8f00,255,143,0,100.0,50.0
33.8,Burlywood,#deb887,222,184,135,56.9,70.0
33.9,Pale gold,#e6be8a,230,190,138,64.8,72.2
34.2,Earth yellow,#e1a95f,225,169,95,68.4,62.7
34.3,Grullo,#a99a86,169,154,134,16.9,59.4
34.3,Tan,#d2b48c,210,180,140,43.8,68.6
34.3,Antique white,#faebd7,250,235,215,77.8,91.2
34.3,Moccasin,#faebd7,250,235,215,77.8,91.2
34.3,Yellow Orange,#ffae42,255,174,66,100.0,62.9
34.4,Ginger,#b06500,176,101,0,100.0,34.5
34.6,Champagne,#fad6a5,250,214,165,89.5,81.4
34.6,Deep champagne,#fad6a5,250,214,165,89.5,81.4
34.6,Sunset,#fad6a5,250,214,165,89.5,81.4
34.7,Indian yellow,#e3a857,227,168,87,71.4,61.6
34.7,Fulvous,#e48400,228,132,0,100.0,44.7
34.8,Topaz,#ffc87c,255,200,124,100.0,74.3
35.2,Pastel orange,#ffb347,255,179,71,100.0,63.9
35.9,Navajo white,#ffdead,255,222,173,100.0,83.9
36.0,Blanched Almond,#ffebcd,255,235,205,100.0,90.2
36.4,Golden brown,#996515,153,101,21,75.9,34.1
37.1,Papaya whip,#ffefd5,255,239,213,100.0,91.8
37.2,Khaki,#c3b091,195,176,145,29.4,66.7
37.3,Shadow,#8a795d,138,121,93,19.5,45.3
37.4,Orange peel,#ff9f00,255,159,0,100.0,50.0
38.0,Dark tangerine,#ffa812,255,168,18,100.0,53.5
38.8,Orange,#ffa500,255,165,0,100.0,50.0
39.0,Peach yellow,#fadfad,250,223,173,88.5,82.9
39.1,Wheat,#f5deb3,245,222,179,76.7,83.1
39.1,Old lace,#fdf5e6,253,245,230,85.2,94.7
39.2,Bone,#e3dac9,227,218,201,31.7,83.9
39.2,Peach,#ffe5b4,255,229,180,100.0,85.3
39.3,Chrome yellow,#ffa700,255,167,0,100.0,50.0
39.4,Gamboge,#e49b0f,228,155,15,87.7,47.6
39.9,Harvest Gold,#da9100,218,145,0,100.0,42.7
40.0,Platinum,#e5e4e2,229,228,226,5.5,89.2
40.0,University of California Gold,#b78727,183,135,39,64.9,43.5
40.0,Floral white,#fffaf0,255,250,240,100.0,97.1
41.5,Field drab,#6c541e,108,84,30,56.5,27.1
42.1,UCLA Gold,#ffb300,255,179,0,100.0,50.0
42.4,Pearl,#eae0c8,234,224,200,44.7,85.1
42.5,Drab,#967117,150,113,23,73.4,33.9
42.5,Mode beige,#967117,150,113,23,73.4,33.9
42.5,Sand dune,#967117,150,113,23,73.4,33.9
42.5,Sandy taupe,#967117,150,113,23,73.4,33.9
42.5,Cosmic latte,#fff8e7,255,248,231,100.0,95.3
42.7,Dark goldenrod,#b8860b,184,134,11,88.7,38.2
42.9,Goldenrod,#daa520,218,165,32,74.4,49.0
43.2,Satin sheen gold,#cba135,203,161,53,59.1,50.2
43.5,Banana Mania,#fae7b5,250,231,181,87.3,84.5
43.8,Urobilin,#e1ad21,225,173,33,76.2,50.6
43.8,Meat brown,#e5b73b,229,183,59,76.6,56.5
43.8,Selective yellow,#ffba00,255,186,0,100.0,50.0
44.9,Amber,#ffbf00,255,191,0,100.0,50.0
44.9,Fluorescent orange,#ffbf00,255,191,0,100.0,50.0
45.0,Dark tan,#918151,145,129,81,28.3,44.3
45.0,Sunglow,#ffcc33,255,204,51,100.0,60.0
45.3,Saffron,#f4c430,244,196,48,89.9,57.3
45.4,Orange Yellow,#f8d568,248,213,104,91.1,69.0
45.4,Mikado yellow,#ffc40c,255,196,12,100.0,52.4
45.5,Ecru,#c2b280,194,178,128,35.1,63.1
45.5,Sand,#c2b280,194,178,128,35.1,63.1
46.2,Eggshell,#f0ead6,240,234,214,46.4,89.0
46.2,Golden poppy,#fcc200,252,194,0,100.0,49.4
47.1,Mustard,#ffdb58,255,219,88,100.0,67.3
47.2,Jasmine,#f8de7e,248,222,126,89.7,73.3
47.7,Jonquil,#fada5e,250,218,94,94.0,67.5
47.7,Naples yellow,#fada5e,250,218,94,94.0,67.5
47.7,Stil de grain yellow,#fada5e,250,218,94,94.0,67.5
48.0,Tangerine yellow,#ffcc00,255,204,0,100.0,50.0
48.0,USC Gold,#ffcc00,255,204,0,100.0,50.0
48.0,Cornsilk,#fff8dc,255,248,220,100.0,93.1
48.3,Medium champagne,#f3e5ab,243,229,171,75.0,81.2
48.3,Vanilla,#f3e5ab,243,229,171,75.0,81.2
49.1,Buff,#f0dc82,240,220,130,78.6,72.5
49.5,Old gold,#cfb53b,207,181,59,60.7,52.2
50.0,Flax,#eedc82,238,220,130,76.1,72.2
50.0,Blond,#faf0be,250,240,190,85.7,86.3
50.1,Vegas gold,#c5b358,197,179,88,48.4,55.9
